frequency,path_idx,latent_size,hl_s1,hl_s2,hl_s3,hl_s4,drop_rate
6,1,14,1061,544,354,95,0.105841762882201
4,2,14,1197,923,415,38,0.0546702382002936
4,3,14,1013,990,173,84,0.291448656981192
4,4,15,1288,745,495,38,0.000411805944097623
4,5,11,1073,809,478,100,0.321822229797493
4,6,14,1184,990,478,30,0.21549473907099
4,7,14,1240,904,165,60,0.499943849834428
4,8,12,1133,998,471,33,0.198302964482802
4,9,12,1754,707,416,63,0.210658615916117
4,10,14,1882,547,421,100,0.283225314201291
1,1,12,1068,981,294,71,0.437209221262988
2,1,14,1649,505,379,31,0.0390185634964955
3,1,15,1001,829,105,82,0.0836948264514229
4,1,15,1032,970,343,99,0.477610536860349
5,1,10,1229,500,492,58,0.443737643231346
6,1,10,1789,503,116,78,0.0200489820407894
